Round / Page,Location,English source,Draft Spanish,Register,Constraint,Notes
R79 — /plus,Feature explanation: document-vault,"An RFE lands with a deadline and a list of documents USCIS wants — pay stubs, a new I-693, a marriage certificate, whatever it is. The vault is where you put them as you gather them, attached to that specific case, encrypted, and private to your account (backed by Vercel's private Blob storage, not a shared folder). It's most useful in the exact moment things get stressful: instead of a downloads folder full of scans you'll never find again, everything relevant to one case lives in one place — genuinely handy if you ever need to hand a case off to an attorney and don't want to re-gather everything from scratch.","Llega una RFE con una fecha límite y una lista de documentos que USCIS quiere — recibos de nómina, un nuevo I-693, un acta de matrimonio, lo que sea. La bóveda es donde los colocas a medida que los reúnes, vinculados a ese caso específico, cifrados y privados para tu cuenta (respaldados por el almacenamiento privado Blob de Vercel, no una carpeta compartida). Es más útil justo en el momento en que las cosas se ponen estresantes: en lugar de una carpeta de descargas llena de escaneos que nunca volverás a encontrar, todo lo relacionado con un caso vive en un solo lugar — genuinamente útil si alguna vez necesitas entregarle un caso a un abogado y no quieres volver a reunir todo desde cero.",tú,Long-form explanation paragraph,'los colocas' / 'tu cuenta' / 'necesitas' / 'no quieres' pervasive tú.
R79 — /plus,Feature explanation: stalled-case-alert,"CaseWhy flags a case that's gone unusually quiet relative to a real benchmark — not a guess, but how long cases like yours typically take before the next real step. This alert itself is free on every tier, by design: knowing something might be stuck shouldn't be behind a paywall. It's the two escalation tools that follow a stall alert — representative lookup and letter drafting, both below — that are part of Plus, since acting on a stall (versus just being told about one) is where the real value is.","CaseWhy marca un caso que se ha quedado inusualmente en silencio en relación con un punto de referencia real — no una suposición, sino cuánto tiempo suelen tardar casos como el tuyo antes del siguiente paso real. Esta alerta en sí es gratuita en todos los niveles, por diseño: saber que algo podría estar estancado no debería estar detrás de un muro de pago. Son las dos herramientas de escalamiento que siguen a una alerta de estancamiento — búsqueda de representante y redacción de cartas, ambas abajo — las que forman parte de Plus, ya que actuar ante un estancamiento (en lugar de solo ser informado de uno) es donde está el verdadero valor.",tú,Long-form explanation paragraph,'como el tuyo' informal possessive; otherwise mostly 3rd-person description.
R79 — /plus,Feature explanation: representative-lookup,"Once a case is flagged as stalled, a lot of people's first instinct is ""can my member of Congress help with this?"" — and most don't actually know who that is, or have an outdated name from years ago. Enter your address and CaseWhy looks up your real, current U.S. Senators and House representative — pulled from live government data, not a static list that goes stale after every election — as a genuine starting point for a congressional inquiry, one of the more effective real-world ways to get a stuck case looked at.","Una vez que un caso se marca como estancado, el primer instinto de muchas personas es ""¿puede ayudarme mi representante en el Congreso con esto?"" — y la mayoría en realidad no sabe quién es, o tiene un nombre desactualizado de hace años. Ingresa tu dirección y CaseWhy busca tus Senadores y Representante de la Cámara reales y actuales — extraídos de datos gubernamentales en vivo, no de una lista estática que queda obsoleta después de cada elección — como un punto de partida genuino para una consulta al Congreso, una de las formas más efectivas en la práctica de lograr que revisen un caso estancado.",tú,Long-form explanation paragraph,Imperative 'Ingresa' + 'tu dirección' / 'tus Senadores' informal.
R79 — /plus,Feature explanation: escalation-letters,"Knowing who to contact is one problem; knowing what to actually write is another. Plus can draft one of three real letters — a congressional inquiry to the representative you just looked up, a follow-up to your specific field office, or a formal USCIS Ombudsman case-assistance request — pre-filled with your case's real details so you're not staring at a blank page. This is deliberately not legal advice: every draft is adversarially tested to refuse fabricating claims or overstating your situation, and it's a starting point you review, edit, and send yourself, not something CaseWhy sends on your behalf.","Saber a quién contactar es un problema; saber qué escribir realmente es otro. Plus puede redactar una de tres cartas reales — una consulta al Congreso dirigida al representante que acabas de buscar, un seguimiento a tu oficina local específica, o una solicitud formal de asistencia de caso al Ombudsman de USCIS — prellenada con los detalles reales de tu caso para que no te quedes mirando una página en blanco. Esto deliberadamente no es asesoría legal: cada borrador se prueba de forma adversarial para negarse a inventar afirmaciones o exagerar tu situación, y es un punto de partida que tú revisas, editas y envías, no algo que CaseWhy envía en tu nombre.",tú,Long-form explanation paragraph,"'acabas de buscar' / 'tu oficina' / 'tu caso' / 'te quedes' / 'tú revisas, editas y envías' pervasive tú."
R79 — /plus,Feature explanation: pdf-report,"If a case reaches the point where you actually need an attorney, the first meeting usually starts with you re-explaining everything from the beginning while they take notes. This generates a real one-page PDF instead — your case's current status and CaseWhy's own plain-language explanation of it, ready to hand over or attach to an email — so that first conversation starts from ""here's where things stand"" instead of starting from zero.","Si un caso llega al punto en que realmente necesitas un abogado, la primera reunión normalmente comienza contigo volviendo a explicar todo desde el principio mientras ellos toman notas. Esto genera en su lugar un PDF real de una página — el estado actual de tu caso y la propia explicación en lenguaje sencillo de CaseWhy, lista para entregar o adjuntar a un correo — para que esa primera conversación comience desde ""así están las cosas"" en lugar de empezar desde cero.",tú,Long-form explanation paragraph,'necesitas' / 'contigo' / 'tu caso' informal.
R79 — /plus,Stalled-alert-always-free footnote,The stalled-case alert itself is always free — only the representative lookup and letter drafting that follow it are part of CaseWhy Plus.,La alerta de caso estancado siempre es gratuita — solo la búsqueda de representante y la redacción de cartas que le siguen son parte de CaseWhy Plus.,neutral,Small print,
R79 — /plus,Get Help cross-link footnote,"Get Help — finding an attorney or accredited representative — is free on every tier too, not a Plus perk.","Obtener Ayuda — encontrar un abogado o representante acreditado — también es gratis en todos los niveles, no es un beneficio de Plus.",neutral,Small print,
R79 — /plus,Section heading: in-depth,"Plus, in depth","Plus, en detalle",neutral,,
R79 — /plus,Section heading: FAQ,Questions,Preguntas,neutral,,
R79 — /plus,FAQ Q1,Can I cancel anytime?,¿Puedo cancelar en cualquier momento?,neutral,1st person question,
R79 — /plus,FAQ A1,"Yes — manage your subscription anytime from this page. Canceling keeps your Plus access through the end of the period you've already paid for, then reverts to the free tier. Nothing you've tracked or uploaded is deleted.","Sí — administra tu suscripción cuando quieras desde esta página. Cancelar mantiene tu acceso a Plus hasta el final del período que ya pagaste, y luego vuelve al nivel gratuito. Nada de lo que hayas rastreado o subido se elimina.",tú,,'administra' imperative / 'tu suscripción' / 'quieras' / 'tu acceso' informal.
R79 — /plus,FAQ Q2,What happens if I go back to the free tier?,¿Qué pasa si vuelvo al nivel gratuito?,neutral,1st person question,
R79 — /plus,FAQ A2,Your account and any cases beyond the free tier's limit stay in your account — you just won't be able to interact with them past the free tier's limits until you resubscribe.,Tu cuenta y cualquier caso más allá del límite del nivel gratuito permanecen en tu cuenta — simplemente no podrás interactuar con ellos más allá de los límites del nivel gratuito hasta que vuelvas a suscribirte.,tú,,'Tu cuenta' / 'podrás' / 'vuelvas' informal.
R79 — /plus,FAQ Q3,Is the escalation toolkit legal advice?,¿El kit de herramientas de escalamiento es asesoría legal?,neutral,,
R79 — /plus,FAQ A3,"No. CaseWhy is not a law firm and doesn't provide legal advice. The representative lookup and letter-drafting tools organize and format information you provide — they never generate legal conclusions or guarantee an outcome. For anything specific to your case, consult a licensed immigration attorney.","No. CaseWhy no es un despacho de abogados y no brinda asesoría legal. Las herramientas de búsqueda de representante y redacción de cartas organizan y dan formato a la información que proporcionas — nunca generan conclusiones legales ni garantizan un resultado. Para algo específico a tu caso, consulta a un abogado de inmigración con licencia.",tú,,'proporcionas' / 'tu caso' / 'consulta' (imperative) informal.
R79 — /plus,Language switcher (on ES page),English,English,neutral,Single-line link,
R79 — Get Help hub,Metadata title,Get Help — Find an Immigration Attorney or Free Legal Aid | CaseWhy,Obtener Ayuda — Encuentra un Abogado de Inmigración o Asistencia Legal Gratuita | CaseWhy,tú,SEO title tag,Imperative 'Encuentra' informal; usted = 'Encuentre un Abogado...'
R79 — Get Help hub,Metadata description,"Free directory of immigration attorneys, accredited representatives, legal aid organizations, and more — no fees, no ads, no sign-in required.","Directorio gratuito de abogados de inmigración, representantes acreditados, organizaciones de asistencia legal y más — sin cuotas, sin anuncios, sin necesidad de iniciar sesión.",neutral,SEO meta description,
R79 — Get Help hub,Language switcher (on EN page),Español,Español,neutral,Single-line link,
R79 — Get Help hub,H1,Get help,Obtener ayuda,neutral,,
R79 — Get Help hub,Intro paragraph 1,"CaseWhy gives you plain-language information, not legal advice. When your situation needs a licensed professional's judgment, here's where to find one.","CaseWhy te da información en lenguaje sencillo, no asesoría legal. Cuando tu situación necesita el criterio de un profesional con licencia, aquí es donde encontrar uno.",tú,,'te da' / 'tu situación' informal.
R79 — Get Help hub,Intro paragraph 2 (disclaimer),"This page is an informational list, not an endorsement or a referral service. CaseWhy doesn't vouch for outcomes, and being listed here doesn't mean any listing is right for your specific situation.","Esta página es una lista informativa, no un aval ni un servicio de referencia. CaseWhy no garantiza resultados, y aparecer aquí no significa que ese listado sea adecuado para tu situación específica.",tú,,'tu situación específica' informal.
R79 — Get Help hub,Intro paragraph 3 (free line),"Every resource here is free to use, always — no fees, no ads, no hidden cost. Same as the rest of CaseWhy: we don't sell your data or run ads either.","Cada recurso aquí es gratuito para usar, siempre — sin cuotas, sin anuncios, sin costo oculto. Igual que el resto de CaseWhy: tampoco vendemos tus datos ni mostramos anuncios.",tú,,'tus datos' informal.
R79 — Get Help hub,Entity card: Attorneys,"Attorneys / Licensed immigration attorneys who can represent you and give advice specific to your case. / You want a licensed professional who can formally represent you, sign filings on your behalf, or appear in immigration court for you.","Abogados / Abogados con licencia de inmigración que pueden representarte y darte asesoría específica para tu caso. / Quieres un profesional con licencia que pueda representarte formalmente, firmar documentos en tu nombre, o comparecer en la corte de inmigración por ti.",tú,"Card, 2-3 lines",'representarte' / 'darte' / 'tu caso' / 'Quieres' / 'tu nombre' / 'por ti' pervasive tú.
R79 — Get Help hub,Entity card: Accredited representatives,"Accredited representatives / DOJ-accredited, non-lawyer representatives — often at nonprofits — authorized to practice immigration law. / You want professional legal help but a private attorney's fees are out of reach, or you'd rather work with a nonprofit.","Representantes acreditados / Representantes acreditados por el DOJ, sin ser abogados — a menudo en organizaciones sin fines de lucro — autorizados a practicar leyes de inmigración. / Quieres ayuda legal profesional pero los honorarios de un abogado privado están fuera de tu alcance, o prefieres trabajar con una organización sin fines de lucro.",tú,"Card, 2-3 lines",'Quieres' / 'tu alcance' / 'prefieres' informal.
R79 — Get Help hub,Entity card: Legal aid,Legal aid & nonprofit organizations / Immigration help for those who can't afford a private attorney. / You need general guidance or a consultation and have limited income.,Asistencia legal y organizaciones sin fines de lucro / Ayuda de inmigración para quienes no pueden pagar un abogado privado. / Necesitas orientación general o una consulta y tienes ingresos limitados.,tú,"Card, 2-3 lines",'Necesitas' / 'tienes' informal.
R79 — Get Help hub,Entity card: Pro bono representation,"Pro bono immigration-court representation / Free representation in immigration court proceedings, organized by court. / You're in immigration court / removal proceedings right now and need representation there, at no cost.","Representación gratuita en la corte de inmigración / Representación gratuita en procesos ante la corte de inmigración, organizada por corte. / Estás en la corte de inmigración / procesos de deportación ahora mismo y necesitas representación ahí, sin costo.",tú,"Card, 2-3 lines",'Estás' / 'necesitas' informal.
R79 — Get Help hub,Entity card: DSO,"University international student offices / Find your school's international student office, for F-1/M-1 status questions. / You're an F-1/M-1 international student with a status or SEVIS question tied to your school.","Oficinas internacionales de universidades / Encuentra la oficina de estudiantes internacionales de tu escuela, para preguntas de estatus F-1/M-1. / Eres un estudiante internacional F-1/M-1 con una pregunta de estatus o SEVIS relacionada con tu escuela.",tú,"Card, 2-3 lines",Imperative 'Encuentra' + 'tu escuela' + 'Eres' informal.
R79 — Get Help hub,Entity card: Community orgs,"Community & cultural organizations / Local and cultural organizations that support immigrants. / You want local, culturally or linguistically matched support — not necessarily legal help.","Organizaciones comunitarias y culturales / Organizaciones locales y culturales que apoyan a los inmigrantes. / Quieres apoyo local, con coincidencia cultural o lingüística — no necesariamente ayuda legal.",tú,"Card, 2-3 lines",'Quieres' informal.
R79 — Get Help hub,Entity card: Employers (coming soon),For employers / Sponsoring or supporting employees through the immigration process.,Para empleadores / Patrocinando o apoyando a empleados a través del proceso de inmigración.,neutral,"Card, 2-3 lines",
R79 — Get Help hub,'Use this when:' prefix,Use this when:,Usa esto cuando:,tú,Inline label prefix,Imperative 'Usa' informal; usted = 'Use esto cuando:'
R79 — Get Help hub,'Coming soon' badge,Coming soon,Próximamente,neutral,"Badge, short",
R79 — Get Help chooser (GetHelpChooserEs.tsx),Card heading,Not sure which one you need?,¿No estás seguro de cuál necesitas?,tú,,'estás' / 'necesitas' informal; usted = '¿No está seguro de cuál necesita?'
R79 — Get Help chooser (GetHelpChooserEs.tsx),Card subheading,"Answer a couple of questions, or describe your situation below.",Responde un par de preguntas.,tú,Shortened vs. English — see note,"Deliberately omits '...or describe your situation below' — that free-text box routes through routeVisitorQuery() (AI classification, Track 2), out of this round's scope, so the Spanish chooser only offers the fixed-question path. Imperative 'Responde' informal."
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 prompt,What's going on right now?,¿Qué está pasando ahora mismo?,neutral,,
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 choice 1,"I don't understand something about my case, a status, or a term I saw","No entiendo algo sobre mi caso, un estado, o un término que vi",neutral,Button label,"1st-person statement, no tú/usted marker."
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 choice 2,I'm in immigration court / removal (deportation) proceedings,Estoy en la corte de inmigración / procesos de deportación,neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 choice 3,I have a pending case/application and want legal advice,Tengo un caso/solicitud pendiente y quiero asesoría legal,neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 choice 4,"I need general or community support, not necessarily legal","Necesito apoyo general o comunitario, no necesariamente legal",neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 choice 5,I'm an F-1/M-1 international student with a school question,Soy estudiante internacional F-1/M-1 con una pregunta de mi escuela,neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q1 choice 6,I'm an employer,Soy un empleador,neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q2 prompt,Can you pay for a private attorney?,¿Puedes pagar un abogado privado?,tú,,'Puedes' informal; usted = '¿Puede pagar un abogado privado?'
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q2 choice 1,"Yes, I can pay for a private attorney","Sí, puedo pagar un abogado privado",neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q2 choice 2,"No, or I'm not sure","No, o no estoy seguro",neutral,Button label,1st person.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q3 prompt,"Legal guidance on a low income, or general community support?","¿Orientación legal con bajos ingresos, o apoyo comunitario general?",neutral,,
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q3 choice 1,Legal guidance on a low income,Orientación legal con bajos ingresos,neutral,Button label,
R79 — Get Help chooser (GetHelpChooserEs.tsx),Q3 choice 2,"General community support (translation, cultural navigation, referrals)","Apoyo comunitario general (traducción, orientación cultural, referencias)",neutral,Button label,
R79 — Get Help chooser (GetHelpChooserEs.tsx),Outcome card: Ask CaseWhy — title,Ask CaseWhy,Pregúntale a CaseWhy,tú,Card heading,Imperative 'Pregúntale' informal; usted = 'Pregúntele a CaseWhy.'
R79 — Get Help chooser (GetHelpChooserEs.tsx),Outcome card: Ask CaseWhy — body,"Ask a free general question right now — no sign-in required. Grounded in CaseWhy's own USCIS policy knowledge base, not your specific case.","Haz una pregunta general gratis ahora mismo — no necesitas iniciar sesión. Basado en la propia base de conocimiento de políticas de USCIS de CaseWhy, no en tu caso específico. (Esta herramienta responde en inglés.)",tú,AI surface itself stays English,'Haz' imperative / 'necesitas' / 'tu caso' informal. '(Esta herramienta responde en inglés.)' caveat added since /get-help/ask (Track 2) isn't translated.
R79 — Get Help chooser (GetHelpChooserEs.tsx),Outcome card: Ask CaseWhy — link,Ask a question →,Hacer una pregunta →,neutral,"Link, short",
R79 — Get Help chooser (GetHelpChooserEs.tsx),'Start over' button,Start over,Empezar de nuevo,neutral,"Button, short",
R79 — Get Help chooser (GetHelpChooserEs.tsx),"'Not sure, or want to see everything?' link","Not sure which one fits — take a look at the full list below. / Not sure, or want to see everything?","¿No estás seguro, o quieres ver todo?",tú,"Link, short (appears in both the question step and the result step)","'estás' / 'quieres' informal; usted = '¿No está seguro, o quiere ver todo?'"
R79 — Attorneys list,Metadata title,Find an Immigration Attorney | CaseWhy,Encuentra un Abogado de Inmigración | CaseWhy,tú,SEO title tag,"Imperative 'Encuentra' informal, same pattern as the H1 (pro-bono-representation's title uses the noun 'Representación' instead, no imperative verb)."
R79 — Attorneys list,Language switcher (on EN page),Español,Español,neutral,Single-line link,
R79 — Attorneys list,Language switcher (on ES page),English,English,neutral,Single-line link,
R79 — Attorneys list,H1,Find an attorney,Encuentra un abogado,tú,,
R79 — Attorneys list,Intro paragraph,"Immigration attorneys — board-certified specialists sourced from official state bar records, plus self-enrolled listings — for anything CaseWhy tells you needs a licensed professional's judgment rather than general information.","Abogados de inmigración — especialistas certificados obtenidos de registros oficiales de colegios de abogados estatales, más listados de auto-inscripción — para cualquier cosa que CaseWhy te indique que necesita el criterio de un profesional con licencia.",tú,,H1 imperative 'Encuentra' + intro 'te indique' are informal (tú); disclaimer's 'confirma tú mismo' is an explicit tú-marked phrase; bottom CTA '¿Eres...?' is tú.
R79 — Attorneys list,Disclaimer box,"This directory is for informational purposes only. It does not constitute a lawyer referral service, and listing does not imply an endorsement or recommendation by this platform. Always confirm an attorney's current bar standing yourself before hiring anyone.","Este directorio es solo para fines informativos. No constituye un servicio de referencia de abogados, y aparecer en la lista no implica un aval o recomendación por parte de esta plataforma. Siempre confirma tú mismo la vigencia actual de la licencia de un abogado antes de contratar a alguien.",tú,,
R79 — Attorneys list,Free-to-browse line,"Free to browse, always — no fees, no ads, no sign-in required.","Gratis para explorar, siempre — sin cuotas, sin anuncios, sin necesidad de iniciar sesión.",neutral,"Small print, shared verbatim across all 6 entity pages",
R79 — Attorneys list,Empty-state message,"We're still building this list out — check back soon. In the meantime, the American Immigration Lawyers Association keeps a searchable directory of its own members.","Todavía estamos construyendo esta lista — vuelve pronto. Mientras tanto, la American Immigration Lawyers Association mantiene un directorio buscable de sus propios miembros. (en inglés)",neutral,Dormant — only renders when the directory has zero entries; currently always populated with real data,
R79 — Attorneys list,StateFilter: filter-by-state label,Filter by state,Filtrar por estado,neutral,"Dropdown label, single line","Identical string reused across all 6 entity pages via the StateFilter component's optional prop — a future wording change needs editing in 6 files, not 1."
R79 — Attorneys list,StateFilter: all-states label,All states,Todos los estados,neutral,"Dropdown option, count appended by the component",Same 6x-duplication note as filter-by-state label.
R79 — Attorneys list,StateFilter: none-yet label,(none yet),(ninguno aún),neutral,Per-state dropdown option suffix,Same 6x-duplication note.
R79 — Attorneys list,StateFilter: search placeholder,"Search by name, organization, or city","Buscar por nombre, organización, o ciudad",neutral,"Input placeholder, single line",Same 6x-duplication note.
R79 — Attorneys list,StateFilter: empty-results message,"(page-specific, e.g. 'No attorneys match.')",(page-specific — see Notes),neutral,Shown when a filter/search yields zero results,Exact per-page string: EN 'No attorneys match.' / 'No accredited representatives match.' / 'No legal aid organizations match.' / 'No schools match.' / 'No organizations match.' (community-orgs) / 'No organizations match.' (pro-bono) — ES 'Ningún abogado coincide.' / 'Ningún representante acreditado coincide.' / 'Ninguna organización de asistencia legal coincide.' / 'Ninguna escuela coincide.' / 'Ninguna organización coincide.' / 'Ninguna organización coincide.' Consolidated into one row per page to avoid 6 near-identical rows; verify each page's exact wording directly in its own StateFilter emptyMessage prop.
R79 — Attorneys list,ReportListingLink: trigger,See something wrong with this listing? Report it,¿Ves algo incorrecto en este listado? Repórtalo,tú,"Link, single line","Imperative 'Repórtalo' informal; identical string re-typed as a labels prop on all 6 pages (not shared via one constant) — a future wording change needs editing in 6 files, not 1."
R79 — Attorneys list,ReportListingLink: success,Thanks — we'll take a look.,Gracias — lo revisaremos.,neutral,Inline confirmation,Identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: what's-wrong label,What's wrong with this listing?,¿Qué está mal en este listado?,neutral,Form field label,Identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: what's-wrong placeholder,"e.g. phone number is disconnected, no longer at this address, organization closed","ej. el teléfono está desconectado, ya no está en esta dirección, la organización cerró",neutral,Input placeholder,Identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: email label,"Your email (optional, if you'd like a reply)","Tu correo (opcional, si quieres una respuesta)",tú,Form field label,'Tu correo' / 'quieres' informal; identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: sending state,Sending…,Enviando…,neutral,"Button label, transient",Identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: send button,Send report,Enviar reporte,neutral,"Button, short",Identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: cancel button,Cancel,Cancelar,neutral,"Button, short",Identical across pages that override labels.
R79 — Attorneys list,ReportListingLink: default error,Something went wrong. Please try again.,Algo salió mal. Por favor intenta de nuevo.,tú,Inline error text,'intenta' informal (usted = 'intente'); identical across pages that override labels.
R79 — Attorneys list,Bottom CTA paragraph,"Licensed immigration attorney? Apply to be listed — free, no cost to join.","¿Eres un abogado de inmigración con licencia? Solicita ser listado — gratis, sin costo de inscripción. (Formulario en inglés.)",tú,Free-form join-CTA line; join form itself stays English,H1 imperative 'Encuentra' + intro 'te indique' are informal (tú); disclaimer's 'confirma tú mismo' is an explicit tú-marked phrase; bottom CTA '¿Eres...?' is tú.
R79 — Accredited Representatives list,Metadata title,Find a DOJ-Accredited Representative | CaseWhy,Encuentra un Representante Acreditado por el DOJ | CaseWhy,tú,SEO title tag,"Imperative 'Encuentra' informal, same pattern as the H1 (pro-bono-representation's title uses the noun 'Representación' instead, no imperative verb)."
R79 — Accredited Representatives list,Language switcher (on EN page),Español,Español,neutral,Single-line link,
R79 — Accredited Representatives list,Language switcher (on ES page),English,English,neutral,Single-line link,
R79 — Accredited Representatives list,H1,Find an accredited representative,Encuentra un representante acreditado,tú,,
R79 — Accredited Representatives list,Intro paragraph,"DOJ-accredited representatives — non-lawyers authorized to practice immigration law, typically at nonprofit organizations. Sourced from DOJ's own public roster, nationwide.","Representantes acreditados por el DOJ — no abogados autorizados a practicar leyes de inmigración, típicamente en organizaciones sin fines de lucro. Obtenido del propio registro público del DOJ, a nivel nacional.",neutral,,H1 imperative 'Encuentra' informal; disclaimer's 'confirma tú mismo' explicit tú; bottom CTA '¿Representas...?' tú.
R79 — Accredited Representatives list,Disclaimer box,"This directory is for informational purposes only. It does not constitute a referral service, and listing does not imply an endorsement or recommendation by this platform. Always confirm a representative's current DOJ accreditation yourself before relying on anyone.","Este directorio es solo para fines informativos. No constituye un servicio de referencia, y aparecer en la lista no implica un aval o recomendación por parte de esta plataforma. Siempre confirma tú mismo la acreditación vigente ante el DOJ de un representante antes de confiar en alguien.",tú,,
R79 — Accredited Representatives list,Free-to-browse line,"Free to browse, always — no fees, no ads, no sign-in required.","Gratis para explorar, siempre — sin cuotas, sin anuncios, sin necesidad de iniciar sesión.",neutral,"Small print, shared verbatim across all 6 entity pages",
R79 — Accredited Representatives list,Empty-state message,"We're still building this list out — check back soon. In the meantime, the Department of Justice publishes its own Recognized Organizations and Accredited Representatives roster.","Todavía estamos construyendo esta lista — vuelve pronto. Mientras tanto, el Departamento de Justicia publica su propio registro de Organizaciones Reconocidas y Representantes Acreditados. (en inglés)",neutral,Dormant — only renders when the directory has zero entries; currently always populated with real data,
R79 — Accredited Representatives list,StateFilter: filter-by-state label,Filter by state,Filtrar por estado,neutral,"Dropdown label, single line","Identical string reused across all 6 entity pages via the StateFilter component's optional prop — a future wording change needs editing in 6 files, not 1."
R79 — Accredited Representatives list,StateFilter: all-states label,All states,Todos los estados,neutral,"Dropdown option, count appended by the component",Same 6x-duplication note as filter-by-state label.
R79 — Accredited Representatives list,StateFilter: none-yet label,(none yet),(ninguno aún),neutral,Per-state dropdown option suffix,Same 6x-duplication note.
R79 — Accredited Representatives list,StateFilter: search placeholder,"Search by name, organization, or city","Buscar por nombre, organización, o ciudad",neutral,"Input placeholder, single line",Same 6x-duplication note.
R79 — Accredited Representatives list,StateFilter: empty-results message,"(page-specific, e.g. 'No accredited representatives match.')",(page-specific — see Notes),neutral,Shown when a filter/search yields zero results,Exact per-page string: EN 'No attorneys match.' / 'No accredited representatives match.' / 'No legal aid organizations match.' / 'No schools match.' / 'No organizations match.' (community-orgs) / 'No organizations match.' (pro-bono) — ES 'Ningún abogado coincide.' / 'Ningún representante acreditado coincide.' / 'Ninguna organización de asistencia legal coincide.' / 'Ninguna escuela coincide.' / 'Ninguna organización coincide.' / 'Ninguna organización coincide.' Consolidated into one row per page to avoid 6 near-identical rows; verify each page's exact wording directly in its own StateFilter emptyMessage prop.
R79 — Accredited Representatives list,ReportListingLink: trigger,See something wrong with this listing? Report it,¿Ves algo incorrecto en este listado? Repórtalo,tú,"Link, single line","Imperative 'Repórtalo' informal; identical string re-typed as a labels prop on all 6 pages (not shared via one constant) — a future wording change needs editing in 6 files, not 1."
R79 — Accredited Representatives list,ReportListingLink: success,Thanks — we'll take a look.,Gracias — lo revisaremos.,neutral,Inline confirmation,Identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: what's-wrong label,What's wrong with this listing?,¿Qué está mal en este listado?,neutral,Form field label,Identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: what's-wrong placeholder,"e.g. phone number is disconnected, no longer at this address, organization closed","ej. el teléfono está desconectado, ya no está en esta dirección, la organización cerró",neutral,Input placeholder,Identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: email label,"Your email (optional, if you'd like a reply)","Tu correo (opcional, si quieres una respuesta)",tú,Form field label,'Tu correo' / 'quieres' informal; identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: sending state,Sending…,Enviando…,neutral,"Button label, transient",Identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: send button,Send report,Enviar reporte,neutral,"Button, short",Identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: cancel button,Cancel,Cancelar,neutral,"Button, short",Identical across pages that override labels.
R79 — Accredited Representatives list,ReportListingLink: default error,Something went wrong. Please try again.,Algo salió mal. Por favor intenta de nuevo.,tú,Inline error text,'intenta' informal (usted = 'intente'); identical across pages that override labels.
R79 — Accredited Representatives list,Bottom CTA paragraph,"Represent a nonprofit with DOJ-accredited staff? Apply to be listed — free, no cost to join.","¿Representas a una organización sin fines de lucro con personal acreditado por el DOJ? Solicita ser listado — gratis, sin costo de inscripción. (Formulario en inglés.)",tú,Free-form join-CTA line; join form itself stays English,H1 imperative 'Encuentra' informal; disclaimer's 'confirma tú mismo' explicit tú; bottom CTA '¿Representas...?' tú.
R79 — Legal Aid list,Metadata title,Find Free & Low-Cost Immigration Legal Aid | CaseWhy,Encuentra Asistencia Legal de Inmigración Gratuita o de Bajo Costo | CaseWhy,tú,SEO title tag,"Imperative 'Encuentra' informal, same pattern as the H1 (pro-bono-representation's title uses the noun 'Representación' instead, no imperative verb)."
R79 — Legal Aid list,Language switcher (on EN page),Español,Español,neutral,Single-line link,
R79 — Legal Aid list,Language switcher (on ES page),English,English,neutral,Single-line link,
R79 — Legal Aid list,H1,Find a legal aid organization,Encuentra una organización de asistencia legal,tú,,
R79 — Legal Aid list,Intro paragraph,"Nonprofit organizations recognized by the DOJ to provide immigration legal help, often at low or no cost. Sourced from DOJ's own public roster, nationwide.","Organizaciones sin fines de lucro reconocidas por el DOJ para brindar ayuda legal de inmigración, a menudo con bajo o ningún costo. Obtenido del propio registro público del DOJ, a nivel nacional.",neutral,,"H1 imperative 'Encuentra' informal; disclaimer here uses the impersonal 'confirma...directamente' (no explicit tú/usted subject pronoun, but the bare imperative 'confirma' is itself the tú-conjugated form — usted would be 'confirme'); bottom CTA '¿Diriges...?' tú."
